10:03:40.698 @EMP002 系统管理员
10:05:56.567 @RCB022 GD201901020014
10:05:56.568 @RCB023 000
10:05:56.568 @RCB024 JDSF133-S
10:05:56.568 @RCB029 002
10:05:56.576 @RCB001 84
10:05:56.576 @RCB002 Z20190116002
10:05:56.576 @RCB003 010
10:05:56.576 @RCB004 107120997
10:05:56.577 @RCB005 复合机PTC网罩
10:05:56.577 @RCB006 PCS
10:05:56.577 @RCB007 005
10:05:56.577 @RCB008 700
10:05:56.577 @RCB019 ********************
10:05:56.577 @RCB020 
10:05:56.577 @RCB021 81
10:05:56.577 @RCB022 GD201901020014
10:05:56.578 @RCB023 000
10:05:56.578 @RCB024 JDSF133-S
10:05:56.578 @RCB029 002
10:05:56.582 @RCB001 84
10:05:56.582 @RCB002 Z20190116002
10:05:56.582 @RCB003 011
10:05:56.582 @RCB004 107110995
10:05:56.582 @RCB005 锡箔管10*10*150
10:05:56.583 @RCB006 PCS
10:05:56.583 @RCB007 004
10:05:56.583 @RCB008 700
10:05:56.583 @RCB019 ********************
10:05:56.583 @RCB020 
10:05:56.583 @RCB021 81
10:05:56.583 @RCB022 GD201901020014
10:05:56.584 @RCB023 000
10:05:56.584 @RCB024 JDSF133-S
10:05:56.584 @RCB029 002
10:05:56.592 @RCB001 84
10:05:56.593 @RCB002 Z20190116002
10:05:56.593 @RCB003 012
10:05:56.593 @RCB004 107010960
10:05:56.593 @RCB005 10公分豪华出风窗
10:05:56.593 @RCB006 PCS
10:05:56.593 @RCB007 005
10:05:56.593 @RCB008 700
10:05:56.594 @RCB019 ********************
10:05:56.594 @RCB020 
10:05:56.594 @RCB021 81
10:05:56.594 @RCB022 GD201901020014
10:05:56.594 @RCB023 000
10:05:56.594 @RCB024 JDSF133-S
10:05:56.594 @RCB029 002
10:05:56.603 @RCB001 84
10:05:56.603 @RCB002 Z20190116002
10:05:56.603 @RCB003 013
10:05:56.603 @RCB004 503020001
10:05:56.603 @RCB005 蓝1.0保险管编织线
10:05:56.603 @RCB006 PCS
10:05:56.603 @RCB007 001
10:05:56.604 @RCB008 700
10:05:56.604 @RCB019 ********************
10:05:56.604 @RCB020 2200-2400W
10:05:56.604 @RCB021 81
10:05:56.604 @RCB022 GD201901020014
10:05:56.604 @RCB023 000
10:05:56.604 @RCB024 JDSF133-S
10:05:56.605 @RCB029 002
10:05:56.613 @RCB001 84
10:05:56.613 @RCB002 Z20190116002
10:05:56.614 @RCB003 014
10:05:56.614 @RCB004 502010045
10:05:56.614 @RCB005 F113-E白色铁箱-喷塑
10:05:56.614 @RCB006 PCS
10:05:56.614 @RCB007 014
10:05:56.614 @RCB008 700
10:05:56.614 @RCB019 ********************
10:05:56.614 @RCB020 白色
10:05:56.615 @RCB021 81
10:05:56.615 @RCB022 GD201901020014
10:05:56.615 @RCB023 000
10:05:56.615 @RCB024 JDSF133-S
10:05:56.615 @RCB029 002
10:05:56.624 @RCB001 84
10:05:56.624 @RCB002 Z20190116002
10:05:56.624 @RCB003 015
10:05:56.624 @RCB004 106150004
10:05:56.624 @RCB005 F139-S单暖浴霸触摸开关
10:05:56.624 @RCB006 PCS
10:05:56.624 @RCB007 006
10:05:56.625 @RCB008 700
10:05:56.625 @RCB019 ********************
10:05:56.625 @RCB020 客供/卓翼（附件包：3*12切尾黑2颗/4*25机罗2颗/压线条1个）
10:05:56.625 @RCB021 81
10:05:56.625 @RCB022 GD201901020014
10:05:56.625 @RCB023 000
10:05:56.625 @RCB024 JDSF133-S
10:05:56.625 @RCB029 002
10:05:56.634 @RCB001 84
10:05:56.634 @RCB002 Z20190116002
10:05:56.634 @RCB003 016
10:05:56.634 @RCB004 106150005
10:05:56.635 @RCB005 F139-S高压触屏开关盒
10:05:56.635 @RCB006 PCS
10:05:56.635 @RCB007 006
10:05:56.635 @RCB008 700
10:05:56.635 @RCB019 ********************
10:05:56.635 @RCB020 客供/卓翼
10:05:56.635 @RCB021 81
10:05:56.636 @RCB022 GD201901020014
10:05:56.636 @RCB023 000
10:05:56.636 @RCB024 JDSF133-S
10:05:56.636 @RCB029 002
10:05:56.645 @RCB001 84
10:05:56.645 @RCB002 Z20190116002
10:05:56.645 @RCB003 017
10:05:56.645 @RCB004 105160892
10:05:56.645 @RCB005 常闭110度温控器
10:05:56.645 @RCB006 PCS
10:05:56.646 @RCB007 006
10:05:56.646 @RCB008 700
10:05:56.646 @RCB019 ********************
10:05:56.646 @RCB020 斜脚45度/16A
10:05:56.646 @RCB021 81
10:05:56.647 @RCB022 GD201901020014
10:05:56.647 @RCB023 000
10:05:56.647 @RCB024 JDSF133-S
10:05:56.647 @RCB029 002
10:05:56.655 @RCB001 84
10:05:56.656 @RCB002 Z20190116002
10:05:56.656 @RCB003 018
10:05:56.656 @RCB004 105131718
10:05:56.656 @RCB005 欧普二合一驱动(客供)
10:05:56.656 @RCB006 PCS
10:05:56.656 @RCB007 006
10:05:56.657 @RCB008 700
10:05:56.657 @RCB019 ********************
10:05:56.657 @RCB020 照明180mm，数显100mm
10:05:56.657 @RCB021 81
10:05:56.657 @RCB022 GD201901020014
10:05:56.657 @RCB023 000
10:05:56.658 @RCB024 JDSF133-S
10:05:56.658 @RCB029 002
10:05:56.668 @RCB001 84
10:05:56.668 @RCB002 Z20190116002
10:05:56.668 @RCB003 019
10:05:56.669 @RCB004 105110853
10:05:56.669 @RCB005 2.5平方8档精品接线柱
10:05:56.669 @RCB006 PCS
10:05:56.669 @RCB007 006
10:05:56.669 @RCB008 700
10:05:56.669 @RCB019 ********************
10:05:56.670 @RCB020 TPJ-B，2.5mm2 250V ~
10:05:56.670 @RCB021 81
10:05:56.670 @RCB022 GD201901020014
10:05:56.670 @RCB023 000
10:05:56.670 @RCB024 JDSF133-S
10:05:56.670 @RCB029 002
10:05:56.676 @RCB001 84
10:05:56.676 @RCB002 Z20190116002
10:05:56.676 @RCB003 020
10:05:56.676 @RCB004 105050824
10:05:56.676 @RCB005 负离子发生器
10:05:56.677 @RCB006 PCS
10:05:56.677 @RCB007 006
10:05:56.677 @RCB008 700
10:05:56.677 @RCB019 ********************
10:05:56.677 @RCB020 
10:05:56.677 @RCB021 81
10:05:56.678 @RCB022 GD201901020014
10:05:56.678 @RCB023 000
10:05:56.678 @RCB024 JDSF133-S
10:05:56.678 @RCB029 002
10:05:56.687 @RCB001 84
10:05:56.688 @RCB002 Z20190116002
10:05:56.688 @RCB003 021
10:05:56.688 @RCB004 105060823
10:05:56.688 @RCB005 148*84*24发热块
10:05:56.688 @RCB006 PCS
10:05:56.689 @RCB007 006
10:05:56.689 @RCB008 700
10:05:56.689 @RCB019 ********************
10:05:56.689 @RCB020 2000W/直脚/大网孔/148*84*24mm
10:05:56.689 @RCB021 81
10:05:56.689 @RCB022 GD201901020014
10:05:56.690 @RCB023 000
10:05:56.690 @RCB024 JDSF133-S
10:05:56.690 @RCB029 002
10:05:56.699 @RCB001 84
10:05:56.699 @RCB002 Z20190116002
10:05:56.700 @RCB003 022
10:05:56.700 @RCB004 105041661
10:05:56.700 @RCB005 F66吹风滚珠电机
10:05:56.700 @RCB006 PCS
10:05:56.700 @RCB007 006
10:05:56.700 @RCB008 700
10:05:56.701 @RCB019 ********************
10:05:56.701 @RCB020 白/绿/蓝L=200mm
10:05:56.701 @RCB021 81
10:05:56.701 @RCB022 GD201901020014
10:05:56.701 @RCB023 000
10:05:56.702 @RCB024 JDSF133-S
10:05:56.702 @RCB029 002
10:05:56.710 @RCB001 84
10:05:56.711 @RCB002 Z20190116002
10:05:56.711 @RCB003 023
10:05:56.711 @RCB004 105050821
10:05:56.711 @RCB005 1μF电容
10:05:56.711 @RCB006 PCS
10:05:56.711 @RCB007 006
10:05:56.712 @RCB008 1400
10:05:56.712 @RCB019 ********************
10:05:56.712 @RCB020 1μF/引出线12cm
10:05:56.712 @RCB021 81
10:05:56.712 @RCB022 GD201901020014
10:05:56.712 @RCB023 000
10:05:56.712 @RCB024 JDSF133-S
10:05:56.713 @RCB029 002
10:05:56.722 @RCB001 84
10:05:56.723 @RCB002 Z20190116002
10:05:56.723 @RCB003 024
10:05:56.723 @RCB004 105041662
10:05:56.723 @RCB005 F66换气滚珠电机
10:05:56.723 @RCB006 PCS
10:05:56.723 @RCB007 006
10:05:56.724 @RCB008 700
10:05:56.724 @RCB019 ********************
10:05:56.724 @RCB020 红/黄/蓝L=200mm
10:05:56.724 @RCB021 81
10:05:56.724 @RCB022 GD201901020014
10:05:56.724 @RCB023 000
10:05:56.725 @RCB024 JDSF133-S
10:05:56.725 @RCB029 002
10:05:56.730 @RCB001 84
10:05:56.730 @RCB002 Z20190116002
10:05:56.730 @RCB003 025
10:05:56.730 @RCB004 104174105
10:05:56.731 @RCB005 F113-E外箱
10:05:56.731 @RCB006 PCS
10:05:56.731 @RCB007 009
10:05:56.731 @RCB008 700
10:05:56.731 @RCB019 ********************
10:05:56.731 @RCB020 665*225*395mm/双瓦牛皮纸
10:05:56.732 @RCB021 81
10:05:56.732 @RCB022 GD201901020014
10:05:56.732 @RCB023 000
10:05:56.732 @RCB024 JDSF133-S
10:05:56.732 @RCB029 002
10:05:56.742 @RCB001 84
10:05:56.742 @RCB002 Z20190116002
10:05:56.742 @RCB003 026
10:05:56.742 @RCB004 104114045
10:05:56.742 @RCB005 18-6泡沫
10:05:56.742 @RCB006 套
10:05:56.743 @RCB007 004
10:05:56.743 @RCB008 700
10:05:56.743 @RCB019 ********************
10:05:56.743 @RCB020 
10:05:56.743 @RCB021 81
10:05:56.743 @RCB022 GD201901020014
10:05:56.743 @RCB023 000
10:05:56.744 @RCB024 JDSF133-S
10:05:56.744 @RCB029 002
10:05:56.753 @RCB001 84
10:05:56.754 @RCB002 Z20190116002
10:05:56.754 @RCB003 027
10:05:56.754 @RCB004 104131696
10:05:56.754 @RCB005 F113-S说明书
10:05:56.754 @RCB006 PCS
10:05:56.755 @RCB007 008
10:05:56.755 @RCB008 700
10:05:56.755 @RCB019 ********************
10:05:56.755 @RCB020 
10:05:56.755 @RCB021 81
10:05:56.755 @RCB022 GD201901020014
10:05:56.756 @RCB023 000
10:05:56.756 @RCB024 JDSF133-S
10:05:56.756 @RCB029 002
10:05:56.761 @RCB001 84
10:05:56.761 @RCB002 Z20190116002
10:05:56.761 @RCB003 028
10:05:56.762 @RCB004 104070449
10:05:56.762 @RCB005 欧普合格证
10:05:56.762 @RCB006 PCS
10:05:56.762 @RCB007 008
10:05:56.762 @RCB008 700
10:05:56.762 @RCB019 ********************
10:05:56.762 @RCB020 白色不干胶
10:05:56.762 @RCB021 81
10:05:56.763 @RCB022 GD201901020014
10:05:56.763 @RCB023 000
10:05:56.763 @RCB024 JDSF133-S
10:05:56.763 @RCB029 002
10:05:56.772 @RCB001 84
10:05:56.773 @RCB002 Z20190116002
10:05:56.773 @RCB003 029
10:05:56.773 @RCB004 104091775
10:05:56.773 @RCB005 欧普F133-S铭牌
10:05:56.773 @RCB006 PCS
10:05:56.773 @RCB007 008
10:05:56.774 @RCB008 700
10:05:56.774 @RCB019 ********************
10:05:56.774 @RCB020 
10:05:56.774 @RCB021 81
10:05:56.774 @RCB022 GD201901020014
10:05:56.774 @RCB023 000
10:05:56.775 @RCB024 JDSF133-S
10:05:56.775 @RCB029 002
10:05:56.784 @RCB001 84
10:05:56.784 @RCB002 Z20190116002
10:05:56.785 @RCB003 030
10:05:56.785 @RCB004 104061899
10:05:56.785 @RCB005 F139-S接线提示卡
10:05:56.785 @RCB006 PCS
10:05:56.785 @RCB007 006
10:05:56.785 @RCB008 700
10:05:56.786 @RCB019 ********************
10:05:56.786 @RCB020 
10:05:56.786 @RCB021 81
10:05:56.786 @RCB022 GD201901020014
10:05:56.786 @RCB023 000
10:05:56.786 @RCB024 JDSF133-S
10:05:56.787 @RCB029 002
10:05:56.792 @RCB001 84
10:05:56.792 @RCB002 Z20190116002
10:05:56.792 @RCB003 031
10:05:56.793 @RCB004 104061944
10:05:56.793 @RCB005 F133-S箱贴
10:05:56.793 @RCB006 PCS
10:05:56.793 @RCB007 008
10:05:56.793 @RCB008 700
10:05:56.793 @RCB019 ********************
10:05:56.794 @RCB020 
10:05:56.794 @RCB021 81
10:05:56.794 @RCB022 GD201901020014
10:05:56.794 @RCB023 000
10:05:56.794 @RCB024 JDSF133-S
10:05:56.794 @RCB029 002
10:05:56.804 @RCB001 84
10:05:56.805 @RCB002 Z20190116002
10:05:56.805 @RCB003 032
10:05:56.805 @RCB004 104020226
10:05:56.805 @RCB005 欧普530*820包装袋
10:05:56.805 @RCB006 PCS
10:05:56.805 @RCB007 006
10:05:56.805 @RCB008 700
10:05:56.806 @RCB019 ********************
10:05:56.806 @RCB020 单面印OPPLE
10:05:56.806 @RCB021 81
10:05:56.806 @RCB022 GD201901020014
10:05:56.806 @RCB023 000
10:05:56.806 @RCB024 JDSF133-S
10:05:56.806 @RCB029 002
10:05:56.816 @RCB001 84
10:05:56.816 @RCB002 Z20190116002
10:05:56.817 @RCB003 033
10:05:56.817 @RCB004 103041679
10:05:56.817 @RCB005 二合一驱动照明转接线
10:05:56.817 @RCB006 PCS
10:05:56.817 @RCB007 006
10:05:56.818 @RCB008 700
10:05:56.818 @RCB019 ********************
10:05:56.818 @RCB020 
10:05:56.818 @RCB021 81
10:05:56.818 @RCB022 GD201901020014
10:05:56.819 @RCB023 000
10:05:56.819 @RCB024 JDSF133-S
10:05:56.819 @RCB029 002
10:05:56.829 @RCB001 84
10:05:56.829 @RCB002 Z20190116002
10:05:56.829 @RCB003 034
10:05:56.829 @RCB004 103041678
10:05:56.830 @RCB005 二合一驱动数显转接线
10:05:56.830 @RCB006 PCS
10:05:56.830 @RCB007 006
10:05:56.830 @RCB008 700
10:05:56.830 @RCB019 ********************
10:05:56.830 @RCB020 
10:05:56.830 @RCB021 81
10:05:56.830 @RCB022 GD201901020014
10:05:56.831 @RCB023 000
10:05:56.831 @RCB024 JDSF133-S
10:05:56.831 @RCB029 002
10:05:56.837 @RCB001 84
10:05:56.837 @RCB002 Z20190116002
10:05:56.837 @RCB003 035
10:05:56.837 @RCB004 104060382
10:05:56.837 @RCB005 欧普接线警告
10:05:56.837 @RCB006 PCS
10:05:56.837 @RCB007 008
10:05:56.838 @RCB008 700
10:05:56.838 @RCB019 ********************
10:05:56.838 @RCB020 75*25mm,不干胶贴纸
10:05:56.838 @RCB021 81
10:05:56.838 @RCB022 GD201901020014
10:05:56.839 @RCB023 000
10:05:56.839 @RCB024 JDSF133-S
10:05:56.839 @RCB029 002
10:05:56.849 @RCB001 84
10:05:56.849 @RCB002 Z20190116002
10:05:56.850 @RCB003 036
10:05:56.850 @RCB004 103021690
10:05:56.850 @RCB005 F113-S接线柱跳线
10:05:56.850 @RCB006 PCS
10:05:56.850 @RCB007 001
10:05:56.850 @RCB008 700
10:05:56.850 @RCB019 ********************
10:05:56.851 @RCB020 1.5mm,L=70mm（详见图纸）
10:05:56.851 @RCB021 81
10:05:56.851 @RCB022 GD201901020014
10:05:56.851 @RCB023 000
10:05:56.851 @RCB024 JDSF133-S
10:05:56.851 @RCB029 002
10:05:56.861 @RCB001 84
10:05:56.861 @RCB002 Z20190116002
10:05:56.861 @RCB003 037
10:05:56.862 @RCB004 103021699
10:05:56.862 @RCB005 白色30公分六芯线
10:05:56.862 @RCB006 PCS
10:05:56.862 @RCB007 001
10:05:56.862 @RCB008 700
10:05:56.862 @RCB019 ********************
10:05:56.862 @RCB020 (红/黄/白/绿/棕/蓝)6*1.0mm
10:05:56.862 @RCB021 81
10:05:56.863 @RCB022 GD201901020014
10:05:56.863 @RCB023 000
10:05:56.863 @RCB024 JDSF133-S
10:05:56.863 @RCB029 002
10:05:56.874 @RCB001 84
10:05:56.874 @RCB002 Z20190116002
10:05:56.874 @RCB003 038
10:05:56.874 @RCB004 103011578
10:05:56.875 @RCB005 F66内部线
10:05:56.875 @RCB006 套
10:05:56.875 @RCB007 001
10:05:56.875 @RCB008 700
10:05:56.875 @RCB019 ********************
10:05:56.875 @RCB020 见图纸
10:05:56.875 @RCB021 81
10:05:56.876 @RCB022 GD201901020014
10:05:56.876 @RCB023 000
10:05:56.876 @RCB024 JDSF133-S
10:05:56.876 @RCB029 002
10:05:56.886 @RCB001 84
10:05:56.886 @RCB002 Z20190116002
10:05:56.886 @RCB003 039
10:05:56.886 @RCB004 102140096
10:05:56.886 @RCB005 STP4*6三角机丝圆头
10:05:56.887 @RCB006 PCS
10:05:56.887 @RCB007 001
10:05:56.887 @RCB008 700
10:05:56.887 @RCB019 ********************
10:05:56.887 @RCB020 
10:05:56.887 @RCB021 81
10:05:56.887 @RCB022 GD201901020014
10:05:56.887 @RCB023 000
10:05:56.888 @RCB024 JDSF133-S
10:05:56.888 @RCB029 002
10:05:56.899 @RCB001 84
10:05:56.899 @RCB002 Z20190116002
10:05:56.900 @RCB003 040
10:05:56.900 @RCB004 102010049
10:05:56.900 @RCB005 10公分抱箍
10:05:56.900 @RCB006 PCS
10:05:56.900 @RCB007 001
10:05:56.900 @RCB008 1400
10:05:56.901 @RCB019 ********************
10:05:56.901 @RCB020 
10:05:56.901 @RCB021 81
10:05:56.901 @RCB022 GD201901020014
10:05:56.901 @RCB023 000
10:05:56.901 @RCB024 JDSF133-S
10:05:56.902 @RCB029 002
10:05:56.912 @RCB001 84
10:05:56.912 @RCB002 Z20190116002
10:05:56.913 @RCB003 042
10:05:56.913 @RCB004 102060067
10:05:56.913 @RCB005 M4*6圆头铜螺丝
10:05:56.913 @RCB006 PCS
10:05:56.913 @RCB007 001
10:05:56.913 @RCB008 1400
10:05:56.914 @RCB019 ********************
10:05:56.914 @RCB020 
10:05:56.914 @RCB021 81
10:05:56.914 @RCB022 GD201901020014
10:05:56.915 @RCB023 000
10:05:56.915 @RCB024 JDSF133-S
10:05:56.915 @RCB029 002
10:05:56.925 @RCB001 84
10:05:56.926 @RCB002 Z20190116002
10:05:56.926 @RCB003 043
10:05:56.926 @RCB004 102080083
10:05:56.926 @RCB005 Φ4铜螺帽
10:05:56.927 @RCB006 PCS
10:05:56.927 @RCB007 001
10:05:56.927 @RCB008 1400
10:05:56.927 @RCB019 ********************
10:05:56.927 @RCB020 
10:05:56.928 @RCB021 81
10:05:56.928 @RCB022 GD201901020014
10:05:56.928 @RCB023 000
10:05:56.928 @RCB024 JDSF133-S
10:05:56.928 @RCB029 002
10:05:56.939 @RCB001 84
10:05:56.940 @RCB002 Z20190116002
10:05:56.940 @RCB003 044
10:05:56.940 @RCB004 102060069
10:05:56.940 @RCB005 龙骨卡扣螺丝包
10:05:56.940 @RCB006 PCS
10:05:56.940 @RCB007 001
10:05:56.941 @RCB008 700
10:05:56.941 @RCB019 ********************
10:05:56.941 @RCB020 带4*20螺丝
10:05:56.941 @RCB021 81
10:05:56.941 @RCB022 GD201901020014
10:05:56.941 @RCB023 000
10:05:56.941 @RCB024 JDSF133-S
10:05:56.941 @RCB029 002
10:05:56.952 @RCB001 84
10:05:56.953 @RCB002 Z20190116002
10:05:56.953 @RCB003 047
10:05:56.953 @RCB004 102110088
10:05:56.953 @RCB005 智能开关压线卡
10:05:56.953 @RCB006 PCS
10:05:56.953 @RCB007 006
10:05:56.954 @RCB008 700
10:05:56.954 @RCB019 ********************
10:05:56.954 @RCB020 白色（格兰）
10:05:56.954 @RCB021 81
10:05:56.954 @RCB022 GD201901020014
10:05:56.954 @RCB023 000
10:05:56.954 @RCB024 JDSF133-S
10:05:56.954 @RCB029 002
10:07:13.884 @EMP002 系统管理员
10:07:13.885 @EMP033 9af7f2b45fff5ca168dd7081681fadd
10:08:30.832 @ANW001 Z20190116002
10:08:30.832 @ANW020 False
10:08:32.778 @ANW001 Z20190116002
10:08:32.778 @ANW020 True
10:08:32.781 @RCA001 84
10:08:32.781 @RCA002 Z20190116002
10:08:32.781 @RCA004 20190128
10:08:32.781 @RCA005 DS
10:08:32.782 @RCA006 050704
10:08:32.782 @RCA016 F
10:08:32.782 @RCA019 F
10:08:32.785 @RCC001 84
10:08:32.789 @RCC002 Z20190116002
10:08:32.789 @RCC003 81
10:08:32.789 @RCC004 GD201901020013
10:08:32.789 @RCC005 013
10:08:32.790 @RCC006 200
10:08:32.790 @RCC007 0
10:08:32.790 @RCC008 ********************
10:08:32.790 @RCC010 JDSF130
10:08:32.790 @RCC011 000
10:08:32.790 @RCC022 001
10:08:32.791 @RCC028 
10:08:32.793 @RCB001 84
10:08:32.793 @RCB002 Z20190116002
10:08:32.793 @RCB003 003
10:08:32.793 @RCB004 102080086
10:08:32.793 @RCB005 防松螺母
10:08:32.793 @RCB006 PCS
10:08:32.793 @RCB007 001
10:08:32.794 @RCB008 200
10:08:32.794 @RCB019 ********************
10:08:32.794 @RCB020 M8
10:08:32.794 @RCB021 81
10:08:32.794 @RCB022 GD201901020013
10:08:32.794 @RCB023 000
10:08:32.794 @RCB024 JDSF130
10:08:32.794 @RCB029 001
10:08:32.796 @RCB001 84
10:08:32.797 @RCB002 Z20190116002
10:08:32.797 @RCB003 004
10:08:32.797 @RCB004 102060069
10:08:32.797 @RCB005 龙骨卡扣螺丝包
10:08:32.797 @RCB006 PCS
10:08:32.797 @RCB007 001
10:08:32.798 @RCB008 200
10:08:32.798 @RCB019 ********************
10:08:32.798 @RCB020 带4*20螺丝
10:08:32.798 @RCB021 81
10:08:32.798 @RCB022 GD201901020013
10:08:32.798 @RCB023 000
10:08:32.799 @RCB024 JDSF130
10:08:32.799 @RCB029 001
10:08:32.800 @RCB001 84
10:08:32.801 @RCB002 Z20190116002
10:08:32.801 @RCB003 005
10:08:32.801 @RCB004 102080083
10:08:32.801 @RCB005 Φ4铜螺帽
10:08:32.801 @RCB006 PCS
10:08:32.801 @RCB007 001
10:08:32.802 @RCB008 200
10:08:32.802 @RCB019 ********************
10:08:32.802 @RCB020 
10:08:32.802 @RCB021 81
10:08:32.802 @RCB022 GD201901020013
10:08:32.802 @RCB023 000
10:08:32.802 @RCB024 JDSF130
10:08:32.803 @RCB029 001
10:08:32.804 @RCB001 84
10:08:32.804 @RCB002 Z20190116002
10:08:32.805 @RCB003 006
10:08:32.805 @RCB004 102060067
10:08:32.805 @RCB005 M4*6圆头铜螺丝
10:08:32.805 @RCB006 PCS
10:08:32.805 @RCB007 001
10:08:32.805 @RCB008 200
10:08:32.805 @RCB019 ********************
10:08:32.805 @RCB020 
10:08:32.806 @RCB021 81
10:08:32.806 @RCB022 GD201901020013
10:08:32.806 @RCB023 000
10:08:32.806 @RCB024 JDSF130
10:08:32.806 @RCB029 001
10:08:32.808 @RCB001 84
10:08:32.808 @RCB002 Z20190116002
10:08:32.808 @RCB003 007
10:08:32.808 @RCB004 102010049
10:08:32.808 @RCB005 10公分抱箍
10:08:32.809 @RCB006 PCS
10:08:32.809 @RCB007 001
10:08:32.809 @RCB008 400
10:08:32.809 @RCB019 ********************
10:08:32.809 @RCB020 
10:08:32.809 @RCB021 81
10:08:32.809 @RCB022 GD201901020013
10:08:32.809 @RCB023 000
10:08:32.810 @RCB024 JDSF130
10:08:32.810 @RCB029 001
10:08:32.812 @RCB001 84
10:08:32.812 @RCB002 Z20190116002
10:08:32.812 @RCB003 008
10:08:32.812 @RCB004 103021686
10:08:32.813 @RCB005 白色50公分四芯线
10:08:32.813 @RCB006 PCS
10:08:32.813 @RCB007 001
10:08:32.813 @RCB008 200
10:08:32.813 @RCB019 ********************
10:08:32.813 @RCB020 (红/白/绿/棕)4*1.0mm
10:08:32.813 @RCB021 81
10:08:32.813 @RCB022 GD201901020013
10:08:32.814 @RCB023 000
10:08:32.814 @RCB024 JDSF130
10:08:32.814 @RCB029 001
10:08:32.816 @RCB001 84
10:08:32.816 @RCB002 Z20190116002
10:08:32.816 @RCB003 009
10:08:32.816 @RCB004 103021667
10:08:32.816 @RCB005 50mm转接线
10:08:32.817 @RCB006 PCS
10:08:32.817 @RCB007 001
10:08:32.817 @RCB008 200
10:08:32.817 @RCB019 ********************
10:08:32.817 @RCB020 1.5mm,L=50mm
10:08:32.817 @RCB021 81
10:08:32.817 @RCB022 GD201901020013
10:08:32.817 @RCB023 000
10:08:32.817 @RCB024 JDSF130
10:08:32.818 @RCB029 001
10:08:32.820 @RCB001 84
10:08:32.820 @RCB002 Z20190116002
10:08:32.820 @RCB003 010
10:08:32.821 @RCB004 103011591
10:08:32.821 @RCB005 F130内部线
10:08:32.821 @RCB006 套
10:08:32.821 @RCB007 001
10:08:32.821 @RCB008 200
10:08:32.822 @RCB019 ********************
10:08:32.822 @RCB020 见图纸
10:08:32.822 @RCB021 81
10:08:32.822 @RCB022 GD201901020013
10:08:32.823 @RCB023 000
10:08:32.823 @RCB024 JDSF130
10:08:32.823 @RCB029 001
10:08:32.825 @RCB001 84
10:08:32.825 @RCB002 Z20190116002
10:08:32.825 @RCB003 011
10:08:32.825 @RCB004 104020226
10:08:32.826 @RCB005 欧普530*820包装袋
10:08:32.826 @RCB006 PCS
10:08:32.826 @RCB007 006
10:08:32.826 @RCB008 200
10:08:32.826 @RCB019 ********************
10:08:32.827 @RCB020 单面印OPPLE
10:08:32.827 @RCB021 81
10:08:32.827 @RCB022 GD201901020013
10:08:32.827 @RCB023 000
10:08:32.827 @RCB024 JDSF130
10:08:32.827 @RCB029 001
10:08:32.829 @RCB001 84
10:08:32.830 @RCB002 Z20190116002
10:08:32.830 @RCB003 012
10:08:32.830 @RCB004 104061859
10:08:32.830 @RCB005 F130箱贴
10:08:32.830 @RCB006 PCS
10:08:32.831 @RCB007 008
10:08:32.831 @RCB008 200
10:08:32.831 @RCB019 ********************
10:08:32.831 @RCB020 
10:08:32.831 @RCB021 81
10:08:32.831 @RCB022 GD201901020013
10:08:32.832 @RCB023 000
10:08:32.832 @RCB024 JDSF130
10:08:32.832 @RCB029 001
10:08:32.834 @RCB001 84
10:08:32.834 @RCB002 Z20190116002
10:08:32.834 @RCB003 013
10:08:32.835 @RCB004 104091744
10:08:32.835 @RCB005 F130铭牌
10:08:32.835 @RCB006 PCS
10:08:32.835 @RCB007 008
10:08:32.835 @RCB008 200
10:08:32.836 @RCB019 ********************
10:08:32.836 @RCB020 
10:08:32.836 @RCB021 81
10:08:32.836 @RCB022 GD201901020013
10:08:32.836 @RCB023 000
10:08:32.836 @RCB024 JDSF130
10:08:32.837 @RCB029 001
10:08:32.839 @RCB001 84
10:08:32.839 @RCB002 Z20190116002
10:08:32.840 @RCB003 014
10:08:32.840 @RCB004 104070449
10:08:32.840 @RCB005 欧普合格证
10:08:32.840 @RCB006 PCS
10:08:32.840 @RCB007 008
10:08:32.840 @RCB008 200
10:08:32.841 @RCB019 ********************
10:08:32.841 @RCB020 白色不干胶
10:08:32.841 @RCB021 81
10:08:32.841 @RCB022 GD201901020013
10:08:32.841 @RCB023 000
10:08:32.841 @RCB024 JDSF130
10:08:32.842 @RCB029 001
10:08:32.845 @RCB001 84
10:08:32.845 @RCB002 Z20190116002
10:08:32.845 @RCB003 015
10:08:32.845 @RCB004 104114031
10:08:32.845 @RCB005 F130泡沫柱
10:08:32.845 @RCB006 PCS
10:08:32.845 @RCB007 004
10:08:32.846 @RCB008 200
10:08:32.846 @RCB019 ********************
10:08:32.846 @RCB020 
10:08:32.846 @RCB021 81
10:08:32.846 @RCB022 GD201901020013
10:08:32.846 @RCB023 000
10:08:32.846 @RCB024 JDSF130
10:08:32.847 @RCB029 001
10:08:32.849 @RCB001 84
10:08:32.849 @RCB002 Z20190116002
10:08:32.849 @RCB003 016
10:08:32.849 @RCB004 104114029
10:08:32.849 @RCB005 17-2泡沫
10:08:32.849 @RCB006 套
10:08:32.849 @RCB007 004
10:08:32.850 @RCB008 200
10:08:32.850 @RCB019 ********************
10:08:32.850 @RCB020 
10:08:32.850 @RCB021 81
10:08:32.850 @RCB022 GD201901020013
10:08:32.850 @RCB023 000
